time/episodes,time/time_elapsed,time/total_timesteps,train/critic_loss,train/n_updates,rollout/ep_rew_mean,train/actor_loss,train/learning_rate,rollout/ep_len_mean,time/fps
4,93,4000,7.6582136154174805,3899,-4424.057554,34.128841400146484,1e-05,1000.0,42
8,186,8000,10.29774284362793,7899,-4346.82346525,67.7802963256836,1e-05,1000.0,42
12,274,12000,5.250629425048828,11899,-4012.2190338333335,90.90902709960938,1e-05,1000.0,43
16,368,16000,7.801337242126465,15899,-3915.4802097499996,116.99528503417969,1e-05,1000.0,43
20,466,20000,54.96221923828125,19899,-3944.6062824,137.8039093017578,1e-05,1000.0,42
24,565,24000,163.5936737060547,23899,-3969.890235416666,160.40252685546875,1e-05,1000.0,42
28,663,28000,212.57533264160156,27899,-3956.1644711428567,176.64620971679688,1e-05,1000.0,42
32,754,32000,126.19340515136719,31899,-3940.7801615624994,197.7814483642578,1e-05,1000.0,42
36,845,36000,10.036935806274414,35899,-3967.30532261111,217.31021118164062,1e-05,1000.0,42
40,937,40000,7.112959861755371,39899,-3930.3644426749997,230.91189575195312,1e-05,1000.0,42
44,1025,44000,65.66963958740234,43899,-3795.5586024772724,245.35079956054688,1e-05,1000.0,42
48,1114,48000,7.405508995056152,47899,-3683.8110012708335,248.6278076171875,1e-05,1000.0,43
52,43,52000,58.78895568847656,51899,-3588.3635799807694,252.59765625,1e-05,1000.0,45
56,131,56000,32.0706787109375,55899,-3332.6116982321428,252.94403076171875,1e-05,1000.0,45
60,219,60000,148.420166015625,59899,-3070.2399742666666,251.8074951171875,1e-05,1000.0,45
64,308,64000,211.5900421142578,63899,-2734.2806539375,251.36618041992188,1e-05,1000.0,45
68,396,68000,15.314035415649414,67899,-2431.754557411765,235.44395446777344,1e-05,1000.0,45
72,494,72000,161.2080078125,71899,-2217.0747100277777,231.10264587402344,1e-05,1000.0,44
76,592,76000,133.66525268554688,75899,-1981.4672035921049,221.74618530273438,1e-05,1000.0,43
80,689,80000,89.4921646118164,79899,-1765.0388686125,203.82870483398438,1e-05,1000.0,43
84,785,84000,12.021787643432617,83899,-1621.2204450595236,191.471923828125,1e-05,1000.0,43
88,882,88000,73.02195739746094,87899,-1507.2980323295453,191.0463409423828,1e-05,1000.0,43
92,979,92000,13.24245834350586,91899,-1371.7174488695653,177.66226196289062,1e-05,1000.0,42
96,1075,96000,10.388397216796875,95899,-1259.6356871770834,170.69818115234375,1e-05,1000.0,42
100,1170,100000,11.651651382446289,99899,-1169.36500327,158.81015014648438,1e-05,1000.0,42
104,97,104000,13.268134117126465,103899,-955.1349184799999,144.92478942871094,1e-05,1000.0,41
108,195,108000,38.011573791503906,107899,-783.5125274100001,146.52223205566406,1e-05,1000.0,40
112,292,112000,11.549695014953613,111899,-675.8514428799999,134.6190643310547,1e-05,1000.0,40
116,392,116000,16.0281982421875,115899,-525.9220485199999,127.841552734375,1e-05,1000.0,40
120,491,120000,10.900068283081055,119899,-416.13762789,130.92190551757812,1e-05,1000.0,40
